run,lab no,        pH       ,om , P ,K ,sand ,   silt    ,clay,texture,from,transplant,var,no,x1,y1,tam,amphoe,prov,soilseries,seriesname,suit,text.code,se.tex
1,1555/61,6.01,2.73,35,133,46.4,33.7,19.9,loam,4.1,โยนกล้า,กข6,554,701861,2123535,ต.ปัว,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,l,Cm.l
2,1556/61,5.89,2.92,31,119,46.6,33.6,19.8,loam,4.2,โยนกล้า,กข6,555,701861,2123535,ต.ปัว,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,l,Cm.l
3,611/61,4.54,2.853955375,37,102,45,31.6,23.4,loam,560603-3,ปักดำ (คน),พันธุ์พื้นเมือง,1019,639483,2126486,ต.ออย,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,S2,l,Cm.l
4,2477,4.93,1.93,15,92,50,28,22,loam,520402-18,ปักดำ (คน),กข6,1888,521167,2001898,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Cm,เชียงใหม่,S2,l,Cm.l
5,1396,6.51,3.053248353,71,142,48.5,29.5,22,loam,540608-2,หว่านน้ำตม,พันธุ์พื้นเมือง,1475,624104,2035669,ต.ทุ่งน้าว,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,l,Cm.l
6,1396/61,6.51,3.053248353,71,142,48.5,29.5,22,loam,540608-2,หว่านน้ำตม,พันธุ์พื้นเมือง,1476,624104,2035669,ต.ทุ่งน้าว,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,l,Cm.l
7,2541,5.44,4.07,19,107,42.4,37.6,20,loam,521204-1,ปักดำ (คน),กข6,2030,535134,1980178,ต.นายาง,อ.สบปราบ,จ.ลำปาง,Cm,เชียงใหม่,S3,l,Cm.l
8,2487,5.1,0.93,9,94,78.8,13.6,7.6,loamy sand,520901-13,ปักดำ (คน),กข6,1965,512267,1925152,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
9,2503,5.65,1.19,6,95,84,10,6,loamy sand,520901-30,ปักดำ (คน),กข6,1977,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
10,2504,6.2,1.29,7,45,78,14,8,loamy sand,520901-31,ปักดำ (คน),ขาวดอกมะลิ 105,1978,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
11,2479,5.23,1.14,8,191,82,12,6,loamy sand,520901-5,ปักดำ (คน),ขาวดอกมะลิ 105,1979,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
12,1652,5.46,1.98,3,42,58,18,24,sandy clay loam,550502-4,ปักดำ (คน),กข6,657,694968,2121601,ต.แงง,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
13,1653,6.16,1.4,3,28,58,20,22,sandy clay loam,550502-5,ปักดำ (คน),กข6,658,694985,2121591,ต.แงง,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
14,1465/61,6.37,2.786479218,14,78,49,24.3,26.7,sandy clay loam,560401-22,หว่านน้ำตม,กข6,930,636630,2088215,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
15,1467/61,5.28,2.112220049,18,65,62.6,17.4,20,sandy clay loam,560401-24,หว่านน้ำตม,กข6,932,636959,2087955,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
16,612/61,4.77,1.441247465,24,56,55.2,23.4,21.4,sandy clay loam,560603-5,ปักดำ (คน),พันธุ์พื้นเมือง,1020,639653,2128230,ต.ออย,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
17,2501,7.52,3.23,5,102,48,28,24,sandy clay loam,520901-27,ปักดำ (คน),ข้าวไรซ์เบอรี่,1974,514832,1926517,ต.พระบาทวังตวง,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
18,646/61,4.79,2.81,70,282,49,26.3,24.7,sandy clay loam,580602-4,ปักดำ (คน),ขาวดอกมะลิ 105,1812,385990,1993940,ต.แม่ยวม,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S1,s.c.l,Cm.s.c.l
19,63/61,4.76,2.88,18,157,47.6,27.7,24.7,sandy clay loam,520607-11,หว่านน้ำตม,กข6,1916,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.c.l,Cm.s.c.l
20,1115/61,5.28,1.901210057,2.7729,43,55.7,23.9,20.4,sandy clay loam,560403-7,หยอดข้าวแห้ง,กข6,979,633766,2089774,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,S2,s.c.l,Cm.s.c.l
21,623/61,5.12,2.004903651,9,38,48.5,26.7,24.8,sandy clay loam,560604-11,ปักดำ (เครื่อง),กข6,1025,641639,2127729,ต.งิม,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,S2,s.c.l,Cm.s.c.l
22,1244/61,7.63,3.39,118,146,53.3,20.7,26,sandy clay loam,500801-8,ปักดำ (คน),สันป่าตอง 1,318,471831,2081758,ต.สะเมิงใต้,อ.สะเมิง,จ.เชียงใหม่,Cm,เชียงใหม่,S3,s.c.l,Cm.s.c.l
23,1464/61,5.89,3.804748166,21,205,58.9,22.5,18.6,sandy loam,560401-21,ปักดำ (คน),กข6,929,636780,2088014,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
24,1469/61,5.08,1.857652812,25,66,64.6,17.2,18.2,sandy loam,560401-26,ปักดำ (คน),กข6,934,636658,2088067,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
25,1135/61,4.71,1.120511518,3.5787,29,74.4,21.4,4.2,sandy loam,560402-18,หยอดข้าวแห้ง,สันป่าตอง 1,961,633562,2093324,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
26,1109/61,5.82,1.371450334,40.4796,94,65.6,24.1,10.3,sandy loam,560403-1,หยอดข้าวแห้ง,กข6,972,633677,2091260,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
27,1367,7.14,1.446817516,39.494,105,54.3,30.9,14.8,sandy loam,540601-4,หว่านน้ำตม,พันธุ์พื้นเมือง,1366,622721,2041148,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,N,s.l,Cm.s.l
28,1367/61,7.14,1.446817516,39.494,105,54.3,30.9,14.8,sandy loam,540601-4,หว่านน้ำตม,พันธุ์พื้นเมือง,1367,622721,2041148,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,N,s.l,Cm.s.l
29,2484,6.43,1.5,96,466,70,18,12,sandy loam,520901-10,ปักดำ (คน),กข6,1962,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.l,Cm.s.l
30,2481,6.78,2.15,16,153,72,14,14,sandy loam,520901-7,ปักดำ (คน),พันธุ์พื้นเมือง,1981,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.l,Cm.s.l
31,2404,5.46,2.12,14,108,60.4,21.6,18,sandy loam,570505-44,หว่านน้ำตม,กข15,107,585612,2160764,ต.ดอยงาม,อ.พาน,จ.เชียงราย,Cm,เชียงใหม่,S1,s.l,Cm.s.l
32,644/61,6.5,1.9,60,198,56.7,28.3,15,sandy loam,580602-2,ปักดำ (คน),ขาวดอกมะลิ 105,1810,386059,1996457,ต.แม่ยวม,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S1,s.l,Cm.s.l
33,62/61,5.25,1.92,10,19,75.6,15.8,8.6,sandy loam,520607-10,หว่านน้ำตม,กข6,1915,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
34,64/61,7.6,5.09,872,625,63.6,25.7,10.7,sandy loam,520607-12,ปักดำ (คน),กข6,1917,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
35,66/61,5.42,2.07,27,58,61.5,23.8,14.7,sandy loam,520607-14,หว่านน้ำตม,สันป่าตอง 1,1919,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
36,1320/61,5.39,1.86,24,140,70.7,16.2,13.1,sandy loam,501004-4,ปักดำ (คน),สันป่าตอง 1,436,533473,2211513,ต.แม่นาวาง,อ.แม่อาย,จ.เชียงใหม่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
37,1365,5.32,1.141321054,21.7315,132,56.3,27,16.7,sandy loam,540601-2,หว่านน้ำตม,สันป่าตอง 1,1361,622308,2041660,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
38,1365/61,5.32,1.141321054,21.7315,132,56.3,27,16.7,sandy loam,540601-2,หว่านน้ำตม,สันป่าตอง 1,1362,622308,2041660,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
39,1366,6.43,1.755746524,24.304,77,58.3,25,16.7,sandy loam,540601-3,หว่านน้ำตม,สันป่าตอง 1,1364,622435,2041425,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
40,1366/61,6.43,1.755746524,24.304,77,58.3,25,16.7,sandy loam,540601-3,หว่านน้ำตม,สันป่าตอง 1,1365,622435,2041425,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
41,1368/61,7.34,0.557788485,23.2505,34,70.3,20.9,8.8,sandy loam,540601-5,ปักดำ (เครื่อง),สันป่าตอง 1,1369,622189,2041458,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
42,1369,4.82,1.237432301,37.289,127,58.3,24.7,17,sandy loam,540601-6,ปักดำ (คน),สันป่าตอง 1,1370,621933,2041979,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
43,1369/61,4.82,1.237432301,37.289,127,58.3,24.7,17,sandy loam,540601-6,ปักดำ (คน),สันป่าตอง 1,1371,621933,2041979,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
44,1370,5.83,1.223702122,20.972,81,60.3,24.7,15,sandy loam,540601-7,หยอดข้าวแห้ง,สันป่าตอง 1,1372,621726,2041845,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
45,1370/61,5.83,1.223702122,20.972,81,60.3,24.7,15,sandy loam,540601-7,หยอดข้าวแห้ง,สันป่าตอง 1,1373,621726,2041845,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
46,681/61,6.73,2.13,44,201,58.7,21.8,19.5,sandy loam,580401-10,ปักดำ (คน),ขาวดอกมะลิ 105,1724,385750,2015215,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S3,s.l,Cm.s.l
47,677/61,5.64,3.04,185,286,62.9,21.9,15.2,sandy loam,580401-6,ปักดำ (คน),ขาวดอกมะลิ 105,1769,385734,2015564,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S3,s.l,Cm.s.l
48,1262/61,4.28,2.35,33,284,59.9,21.9,18.2,sandy loam,520604-1,ปักดำ (เครื่อง),สันป่าตอง 1,1902,560023,2076155,ต.แม่สุก,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S3,s.l,Cm.s.l
49,526/61,4.83,3.688603031,14,130,38.6,22,39.4,clay loam,570804-21,ปักดำ (คน),กข15,200,603651,2246410,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,c.l,Cr.c.l
50,2405,4.79,5.08,19,203,40.4,27.6,32,clay loam,570404-1,หว่านข้าวแห้ง,กข15,36,617545,2167751,ต.หนองแรด,อ.เทิง,จ.เชียงราย,Cr,เชียงราย,S2,c.l,Cr.c.l
51,2420,4.77,2.41,8,134,38.4,31.6,30,clay loam,570404-16,หว่านข้าวแห้ง,กข15,43,617545,2167751,ต.หนองแรด,อ.เทิง,จ.เชียงราย,Cr,เชียงราย,S2,c.l,Cr.c.l
52,2412,5.24,1.83,6,95,42,30,28,clay loam,570404-8,หว่านข้าวแห้ง,กข15,53,610646,2164704,ต.แม่ลอย,อ.เทิง,จ.เชียงราย,Cr,เชียงราย,S2,c.l,Cr.c.l
53,522/61,5.57,3.447855048,16,133,48.8,31.1,20.1,loam,570804-17,หว่านน้ำตม,ขาวดอกมะลิ 105,195,603156,2247693,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,l,Cr.l
54,2407,4.92,1.98,7,142,42.4,31.6,26,loam,570404-3,หว่านข้าวแห้ง,กข15,48,611198,2164651,ต.แม่ลอย,อ.เทิง,จ.เชียงราย,Cr,เชียงราย,S2,l,Cr.l
55,2409,5.07,1.55,5,52,46.4,31.6,22,loam,570404-5,หว่านข้าวแห้ง,กข15,50,610427,2164515,ต.แม่ลอย,อ.เทิง,จ.เชียงราย,Cr,เชียงราย,S2,l,Cr.l
56,519/61,5.32,2.66714373,13,193,48.6,27.4,24,sandy clay loam,570804-14,หว่านน้ำตม,กข15,192,603922,2246241,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
57,523/61,4.65,3.193350037,12,97,62.6,15.2,22.2,sandy clay loam,570804-18,หว่านน้ำตม,ขาวดอกมะลิ 105,196,604427,2247079,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
58,525/61,4.83,4.816679296,8,111,50.6,15.1,34.3,sandy clay loam,570804-20,ปักดำ (คน),กข15,199,603497,2248085,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
59,509/61,5.36,2.839106575,11,57,51.4,23,25.6,sandy clay loam,570804-4,หว่านน้ำตม,กข15,202,603107,2246347,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
60,511/61,4.49,4.730697873,23,153,46.6,19.7,33.7,sandy clay loam,570804-6,หว่านน้ำตม,กข15,204,603202,2247330,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
61,512/61,7.28,2.302582498,57,253,54.6,21.6,23.8,sandy clay loam,570804-7,ปักดำ (คน),กข15,205,603919,2248061,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
62,514/61,4.93,4.232005622,10,105,46.7,19.5,33.8,sandy clay loam,570804-9,ปักดำ (คน),กข15,207,603922,2246241,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.c.l,Cr.s.c.l
63,515/61,5.69,3.382509166,25,102,60.8,21.3,17.9,sandy loam,570804-10,หว่านน้ำตม,ขาวดอกมะลิ 105,188,604365,2246729,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.l,Cr.s.l
64,516/61,6.71,3.839930335,453,140,76.9,17.3,5.8,sandy loam,570804-11,หว่านน้ำตม,ขาวดอกมะลิ 105,189,603922,2246241,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.l,Cr.s.l
65,513/61,5.14,2.894134686,6,58,70.8,13.4,15.8,sandy loam,570804-8,ปักดำ (คน),กข15,206,602695,2247812,ต.ศรีดอนมูล,อ.เชียงแสน,จ.เชียงราย,Cr,เชียงราย,S1,s.l,Cr.s.l
66,1095/61,4.93,1.853677625,9.7644,64,56.2,27.8,16,sandy loam,560111-1,ปักดำ (คน),ขาวดอกมะลิ 105,858,588066,2132936,ต.แม่ปืม,อ.เมืองพะเยา,จ.พะเยา,Cr,เชียงราย,S2,s.l,Cr.s.l
67,1263,5.43,2.63,192,222,48,34,18,loam,540301-7,หว่านข้าวแห้ง,สันป่าตอง 1,1238,588299,2001007,ต.ห้วยอ้อ,อ.ลอง,จ.แพร่,Hc,ห้างฉัตร,S2,l,Hc.l
68,784/61,4.65,2.027674646,8,83,48,28.4,23.6,loam,580303-9,ปักดำ (คน),สันป่าตอง 1,1694,441366,2143415,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,l,Hc.l
69,840/61,6.19,2.15,9.3666,74,47.8,36,16.2,loam,580303-9,ปักดำ (คน),สันป่าตอง 1,1695,439731,2145077,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,l,Hc.l
70,1759,5.74,2.2,586,107,84,10,6,loamy sand,500906-11,หว่านน้ำตม,สันป่าตอง 1,364,522598,2196770,ต.ท่ากว้าง,อ.ฝาง,จ.เชียงใหม่,Hc,ห้างฉัตร,N,l.s,Hc.l.s
71,1758,5.97,2.27,631,95,82,10,8,loamy sand,500906-13,หว่านน้ำตม,สันป่าตอง 1,365,522598,2196770,ต.ท่ากว้าง,อ.ฝาง,จ.เชียงใหม่,Hc,ห้างฉัตร,N,l.s,Hc.l.s
72,1760,5.53,1.91,434,60,86,10,4,loamy sand,500906-17,ปักดำ (คน),สันป่าตอง 1,369,522598,2196770,ต.ท่ากว้าง,อ.ฝาง,จ.เชียงใหม่,Hc,ห้างฉัตร,N,l.s,Hc.l.s
73,1767,7.21,2.05,251,64,84,8,8,loamy sand,500906-9,หว่านน้ำตม,สันป่าตอง 1,384,522598,2196770,ต.ท่ากว้าง,อ.ฝาง,จ.เชียงใหม่,Hc,ห้างฉัตร,N,l.s,Hc.l.s
74,845/61,5.07,1.04,6.3717,54,85,8,7,loamy sand,580303-15,ปักดำ (คน),สันป่าตอง 1,1676,439876,2144784,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,l.s,Hc.l.s
75,847/61,4.91,1.23,9.0852,17,87.1,7.8,5.1,loamy sand,580303-18,ปักดำ (คน),สันป่าตอง 1,1678,439521,2145077,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,l.s,Hc.l.s
76,761/61,4.92,2.161707377,5,88,56.9,17,26.1,sandy clay loam,580305-9,ปักดำ (คน),สันป่าตอง 1,1721,440831,2137920,ต.ทุ่งยาว,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,N,s.c.l,Hc.s.c.l
77,833/61,5.2,1.91,16.3212,137,58.2,21.8,20,sandy clay loam,580303-2,ปักดำ (คน),กข21,1680,438576,2145081,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
78,781/61,6.32,3.168671226,20,116,53.3,24.5,22.2,sandy clay loam,580303-5,ปักดำ (คน),สันป่าตอง 1,1687,441382,2143210,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
79,773/61,5.86,2.852491451,76,145,61.3,16.7,22,sandy clay loam,580304-3,ปักดำ (คน),กข21,1698,444099,2133153,ต.แม่ฮี้,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
80,777/61,5.37,1.824907181,13,68,55.3,22.7,22,sandy clay loam,580304-7,ปักดำ (คน),กข21,1702,444427,2133341,ต.แม่ฮี้,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
81,762/61,4.5,1.890205178,4,75,45.8,26.6,27.6,sandy clay loam,580305-10,ปักดำ (คน),สันป่าตอง 1,1705,441044,2137940,ต.ทุ่งยาว,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
82,765/61,6.06,2.536311676,28,141,47.8,20.7,31.5,sandy clay loam,580305-13,ปักดำ (คน),สันป่าตอง 1,1708,441102,2138158,ต.ทุ่งยาว,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
83,770/61,4.63,1.673690767,6,61,53.7,20.7,25.6,sandy clay loam,580305-18,ปักดำ (คน),สันป่าตอง 1,1713,441566,2137219,ต.ทุ่งยาว,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
84,760/61,5.21,2.179688193,15,102,59,20.9,20.1,sandy clay loam,580305-8,ปักดำ (คน),สันป่าตอง 1,1720,441015,2138717,ต.ทุ่งยาว,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.c.l,Hc.s.c.l
85,1260,5.48,2.41,35,76,62.4,23.6,14,sandy loam,540301-2,หยอดข้าวแห้ง,ธัญสิริน,1235,587734,2000566,ต.ห้วยอ้อ,อ.ลอง,จ.แพร่,Hc,ห้างฉัตร,N,s.l,Hc.s.l
86,779/61,5.58,1.804286761,15,56,61.3,22.6,16.1,sandy loam,580303-3,ปักดำ (คน),สันป่าตอง 1,1683,437539,2144651,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
87,780/61,6.8,2.326670738,26,98,59.5,24.4,16.1,sandy loam,580303-4,ปักดำ (คน),สันป่าตอง 1,1685,441242,2143155,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
88,782/61,5.71,1.60839277,44,80,60,22.4,17.6,sandy loam,580303-7,ปักดำ (คน),สันป่าตอง 1,1690,441293,2143280,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
89,783/61,5.64,2.453829995,23,85,62,20.4,17.6,sandy loam,580303-8,ปักดำ (คน),สันป่าตอง 1,1692,441273,2143324,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
90,839/61,5.72,1.55,15.1152,113,73.7,16.2,10.1,sandy loam,580303-8,ปักดำ (คน),สันป่าตอง 1,1693,438357,2144809,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
91,771/61,4.69,1.907388862,16,49,65.6,20.8,13.6,sandy loam,580304-1,ปักดำ (คน),กข21,1696,443963,2133200,ต.แม่ฮี้,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
92,774/61,4.55,1.59808256,15,43,69.5,14.5,16,sandy loam,580304-4,ปักดำ (คน),กข21,1699,444135,2133185,ต.แม่ฮี้,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
93,775/61,5.9,2.299176844,16,87,59.5,22.5,18,sandy loam,580304-5,ปักดำ (คน),กข21,1700,444618,2133187,ต.แม่ฮี้,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S2,s.l,Hc.s.l
94,843/61,5.47,2.45,10.7535,48,75.1,17.9,7,sandy loam,580303-13,ปักดำ (คน),สันป่าตอง 1,1674,439835,2144966,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,s.l,Hc.s.l
95,844/61,4.67,2.47,5.7888,74,67.1,17.9,15,sandy loam,580303-14,ปักดำ (คน),สันป่าตอง 1,1675,439501,2145269,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,s.l,Hc.s.l
96,848/61,4.88,1.83,8.8239,40,75.1,15.7,9.2,sandy loam,580303-19,ปักดำ (คน),สันป่าตอง 1,1679,439731,2145298,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,s.l,Hc.s.l
97,834/61,5.01,1.88,9.0048,32,68.4,19.7,11.9,sandy loam,580303-3,ปักดำ (คน),สันป่าตอง 1,1684,439626,2145188,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,s.l,Hc.s.l
98,836/61,5.08,3.08,22.11,72,65.8,22.2,12,sandy loam,580303-5,ปักดำ (คน),สันป่าตอง 1,1688,439578,2145362,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Hc,ห้างฉัตร,S3,s.l,Hc.s.l
99,1435/61,4.97,2.648875306,12,141,38.2,21.2,40.6,clay,570302-10,หว่านน้ำตม,สันป่าตอง 1,19,648619,2233569,ต.สถาน,อ.เชียงของ,จ.เชียงราย,Hd,หางดง,S1,c,Hd.c
100,1430/61,5.14,2.690156479,5,84,36.2,19.5,44.3,clay,570302-5,หว่านน้ำตม,กข6,31,648388,2233448,ต.สถาน,อ.เชียงของ,จ.เชียงราย,Hd,หางดง,S1,c,Hd.c
101,1315/61,5.79,3.33,10,179,44.4,10.8,44.8,clay,500901-17,ปักดำ (เครื่อง),สันป่าตอง 1,334,524374,2203465,ต.เวียง,อ.ฝาง,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
102,1300/61,5.29,4.85,14,206,42.3,14.9,42.8,clay,500901-2,หยอดน้ำตม,สันป่าตอง 1,339,525111,2204697,ต.เวียง,อ.ฝาง,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
103,1301/61,5.24,3.48,6,122,40.2,19,40.8,clay,500901-3,ปักดำ (คน),สันป่าตอง 1,348,525012,2204779,ต.เวียง,อ.ฝาง,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
104,1318/61,4.99,5.55,10,171,44.2,12.7,43.1,clay,501004-2,หว่านน้ำตม,สันป่าตอง 1,425,534055,2211635,ต.แม่นาวาง,อ.แม่อาย,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
105,1715,5.85,3.64,13,127,42.8,13.2,44,clay,501004-24,หว่านน้ำตม,สันป่าตอง 1,431,534532,2211794,ต.แม่นาวาง,อ.แม่อาย,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
106,1710,5.52,4.43,17,204,44.8,15.2,40,clay,501004-25,หว่านน้ำตม,สันป่าตอง 1,432,534345,2212024,ต.แม่นาวาง,อ.แม่อาย,จ.เชียงใหม่,Hd,หางดง,S1,c,Hd.c
